,id,name,wgslng,wgslat,adname,cost,rating,type,bdlat,bdlng,WMlat,WMlng
81,B0FFF00MFD,交通银行(上海凉城支行),121.465848,31.299232,虹口区,[],3.0,金融保险服务;银行;交通银行,31.30319330072784,121.47692829589299,13521516.348133001,3671671.394565255
82,B00155KTNU,上海银行(凉城支行),121.46626100000002,31.299414000000002,虹口区,[],4.0,金融保险服务;银行;上海银行,31.303371122850233,121.47734086602955,13521562.323082704,3671695.1054815277
83,B0FFGCET3R,招商银行24小时自助银行(上海江湾支行),121.471957,31.306199,虹口区,[],4.5,金融保险服务;自动提款机;招商银行ATM,31.310035409552587,121.4830463901451,13522196.39890226,3672579.0863303435
84,B0FFFDXQUD,中国建设银行(上海江湾支行),121.471272,31.306194,虹口区,[],3.0,金融保险服务;银行;中国建设银行,31.310032344628418,121.48236379364518,13522120.145051066,3672578.4348840257
85,B00155F8YM,上海银行24小时自助银行(凉城支行),121.466291,31.299426,虹口区,[],[],金融保险服务;自动提款机;上海银行ATM,31.30338284061783,121.47737082846905,13521565.662667425,3671696.668840254
86,B0FFF00MFC,交通银行24小时自助银行(凉城支行),121.46589499999999,31.29924,虹口区,[],[],金融保险服务;自动提款机;交通银行ATM,31.30320104486873,121.47697518881195,13521521.580149071,3671672.4368023714
87,B0FFGANZ81,镇丰投资,121.469939,31.306495,虹口区,[],[],金融保险服务;金融保险服务机构;金融保险机构,31.310332866977127,121.48103650482786,13521971.756169839,3672617.652014013
88,B0FFH183UO,金葵花理财中心,121.472,31.306095000000003,虹口区,[],[],金融保险服务;银行相关;银行相关,31.309932710010184,121.48308885190484,13522201.185640365,3672565.536254036
89,B00156O5FA,上海弘和环保投资有限公司,121.474177,31.301481,虹口区,[],[],金融保险服务;金融保险服务机构;金融保险机构,31.305382289226667,121.48523910343947,13522443.52817182,3671964.396958337
90,B0FFH7NKP9,上海市虹口公共租赁住房投资运营有限公司,121.471376,31.305805,虹口区,[],[],金融保险服务;金融保险服务机构;金融保险机构,31.309648405022013,121.48246597839758,13522131.72227811,3672527.7524664146
91,B0FFFH0BHY,中国建设银行24小时自助银行(江湾支行),121.471255,31.306129,虹口区,[],[],金融保险服务;自动提款机;中国建设银行ATM,31.30996827640271,121.4823466128522,13522118.252619725,3672569.9660850298
92,B00155CC94,中国建设银行24小时自助银行(凉城支行),121.466816,31.298426,虹口区,[],[],金融保险服务;自动提款机;中国建设银行ATM,31.302398927177318,121.47788951150817,13521624.105400091,3671566.3896293463
93,B0FFJD40N3,中国建设银行(上海彩虹湾支行),121.46853899999999,31.315131,虹口区,[],4.0,金融保险服务;银行;中国建设银行,31.318886254517864,121.47966505095128,13521815.90888273,3673742.8852387615
94,B0FFKAQK0Q,中国工商银行(彩虹湾支行),121.468202,31.315153999999996,虹口区,[],4.0,金融保险服务;银行;中国工商银行,31.318909996439917,121.47932919467314,13521778.394214334,3673745.8821764356
95,B0FFL9JNNP,中国工商银行24小时自助银行(彩虹湾支行),121.468046,31.315164000000003,虹口区,[],[],金融保险服务;自动提款机;中国工商银行ATM,31.31892034260665,121.47917371974108,13521761.028373769,3673747.185193051
96,B0FFH17ZSM,阳光财产保险股份有限公司车辆服务定损中心,121.473863,31.310395,虹口区,[],3.0,金融保险服务;金融保险服务机构;金融保险机构,31.31417546867112,121.48495930483224,13522408.573851712,3673125.792270555
97,B00155NC8I,东方证券,121.466004,31.321274,宝山区,[],[],金融保险服务;证券公司;证券公司,31.32501572502658,121.47714442919467,13521533.713973567,3674543.354212552
98,B001558D6A,中国建设银行(高境支行),121.47031799999999,31.323151,宝山区,[],3.0,金融保险服务;银行;中国建设银行,31.326882650482045,121.48144442462038,13522013.94625685,3674787.9487510775
